Analysis,Time True,Time False,Percent True,Interval Count
LRO sees Canberra,26469.742,59930.258,30.64%,6
TDRS 8 sees Canberra,86400,0,100.00%,1
MRO sees Canberra,24200.529,62199.471,28.01%,6
TDRS 10 sees Canberra,86400,0,100.00%,1
TDRS 12 sees Canberra,0,86400,0.00%,0
TDRS 13 sees Canberra,0,86400,0.00%,0
LRO sees Goldstone,27929.59,58470.41,32.33%,8
LRO sees Madrid,22393.458,64006.542,25.92%,6
LRO sees TDRS 10,54620.727,31779.273,63.22%,14
LRO sees TDRS 12,55037.695,31362.305,63.70%,13
LRO sees TDRS 13,52711.193,33688.807,61.01%,14
LRO sees TDRS 8,54608.689,31791.311,63.20%,13
MRO sees Goldstone,0,86400,0.00%,0
MRO sees Madrid,0,86400,0.00%,0
MRO sees TDRS 10,0,86400,0.00%,0
MRO sees TDRS 12,0,86400,0.00%,0
MRO sees TDRS 13,0,86400,0.00%,0
MRO sees TDRS 8,0,86400,0.00%,0
TDRS 10 sees Goldstone,86400,0,100.00%,1
TDRS 10 sees Guam,86400,0,100.00%,1
TDRS 10 sees Madrid,0,86400,0.00%,0
TDRS 10 sees TDRS 12,86400,0,100.00%,1
TDRS 10 sees TDRS 13,86400,0,100.00%,1
TDRS 10 sees White Sands,86400,0,100.00%,1
TDRS 12 sees Goldstone,86400,0,100.00%,1
TDRS 12 sees Guam,0,86400,0.00%,0
TDRS 12 sees Madrid,86400,0,100.00%,1
TDRS 12 sees TDRS 13,86400,0,100.00%,1
TDRS 12 sees White Sands,86400,0,100.00%,1
TDRS 13 sees Goldstone,0,86400,0.00%,0
TDRS 13 sees Guam,0,86400,0.00%,0
TDRS 13 sees Madrid,86400,0,100.00%,1
TDRS 13 sees White Sands,0,86400,0.00%,0
TDRS 8 sees Goldstone,0,86400,0.00%,0
TDRS 8 sees Guam,86400,0,100.00%,1
TDRS 8 sees Madrid,0,86400,0.00%,0
TDRS 8 sees TDRS 10,86400,0,100.00%,1
TDRS 8 sees TDRS 12,86400,0,100.00%,1
TDRS 8 sees TDRS 13,86400,0,100.00%,1
TDRS 8 sees White Sands,0,86400,0.00%,0
LRO sees MRO,30957.239,55442.761,35.83%,13